Naturópata;100
Empleada/o doméstica (buscar sinónimos);97,9
Profesor(a) (de infantil);95,3
Cuidador(a) de niños (Niñera/o);94,5
Peluquera/o;90,8
Limpiador(a);89,4
Enfermera/o;83,6
Teleoperador(a);83,4
Cajera/o;83,3
Taquillera/o;83,3
Psicóloga/o;82
Historiador(a);82
Trabajador(a) social ;82
Bibliotecaria/o;78,2
Farmacéutica/o;76,2
Dependienta/e;74,8
Odontóloga/o (Dentista);73,5
Recepcionista;71,7
Secretaria/o;69,8
Periodista;61,2
Economista;34,9
Arquitecta/o;34,6
Director(a) general / (Presidenta/e ejecutiva/o*);27
Barrendera/o / Basurera/o;23,6
Repartidor(a);18,3
Conductor**;17,9
Ingeniera/o***;17
Policía;14,2
Programador(a);13,6
Jardinera/o;10,8
Peón****;9,4
Piloto (de avión);4
Minera/o;3,4
Bombera/o;2,5
Camionera/o;0,7
Electricista;0,6
Mecánica/o;0,5
Carpintera/o;0,5
Fontanera/o;0,4
Albañil;0,4
Médica/o;55,8
Juez(a);53,9
Bióloga/o;53,4
Veterinaria/o;53,3
Cocinera/o;51
Camarera/o;49,2
Cartera/o;48,8
Agente inmobiliaria;48,5
Contable;47,6
Abogada/o;47
Reponedor(a);44,1
Visitador médico;43,8
Fotógrafa/o;43,4
Decorador(a);43,4
Entrenador(a);43,2
Repostera/o / Panadera/o;42,1
Física/o;41,4
Matemática/o;41,4
Encuestador(a) / Entrevistador(a);40,3
Bedel;39,9