naturopata;naturopata;naturopatak;100;female
etxe-langile;etxe-langilea;etxe-langileak;97,9;female
umezain;umezaina;umezainak;94,5;female
estetizista;estetizista;estetizistak;90,8;female
ile-apaintzaile;ile-apaintzailea;ile-apaintzaileak;90,8;female
garbitzaile;garbitzailea;garbitzaileak;89,4;female
erizain;erizaina;erizainak;83,6;female
teleoperadore;teleoperadorea;teleoperadoreak;83,4;female
kutxazain;kutxazaina;kutxazainak;83,3;female
txartel-saltzaile;txartel-saltzailea;txartel-saltzaileak;83,3;female
psikologo;psikologoa;psikologoak;82;female
historialari;historialaria;historialariak;82;female
gizarte-langile;gizarte-langilea;gizarte-langileak;82;female
liburuzain;liburuzaina;liburuzainak;78,2;female
farmazialari;farmazialaria;farmazialariak;76,2;female
saltzaile;saltzailea;saltzaileak;74,8;female
odontologo;odontologoa;odontologoak;73,5;female
harreragile;harreragilea;harreragileak;71,7;female
idazkari;idazkaria;idazkariak;69,8;female
kazetari;kazetaria;kazetariak;61,2;female
zuzendari;zuzendaria;zuzendariak;27;male
kale-garbitzaile;kale-garbitzailea;kale-garbitzaileak;23,6;male
banatzaile;banatzailea;banatzaileak;18,3;male
gidari;gidaria;gidariak;17,9;male
ingeniari;ingeniaria;ingeniariak;17;male
polizi;polizia;poliziak;14,2;male
programatzaile;programatzailea;programatzaileak;13,6;male
lorezain;lorezaina;lorezainak;10,8;male
abeltzain;abeltzaina;abeltzainak;10,8;male
peoi;peoia;peoiak;9,4;male
pilotu;pilotua;pilotuak;4;male
meatzari;meatzaria;meatzariak;3,4;male
suhiltzaile;suhiltzailea;suhiltzaileak;2,5;male
beiragile;beiragilea;beiragileak;1,9;male
kamioilari;kamioilaria;kamioilariak;0,7;male
elektrikari;elektrikaria;elektrikariak;0,6;male
mekanikari;mekanikaria;mekanikariak;0,5;male
arotz;arotza;arotzak;0,5;male
iturgin;iturgina;iturginak;0,4;male
igeltsero;igeltseroa;igeltseroak;0,4;male
mediku;medikua;medikuak;55,8;balanced
epaile;epailea;epaileak;53,9;balanced
biologo;biologoa;biologoak;53,4;balanced
albaitari;albaitaria;albaitariak;53,3;balanced
sukaldari;sukaldaria;sukaldariak;51;balanced
zerbitzari;zerbitzaria;zerbitzariak;49,2;balanced
postari;postaria;postariak;48,8;balanced
higiezin-agente;higiezin-agentea;higiezin-agenteak;48,5;balanced
kontulari;kontularia;kontulariak;47,6;balanced
abokatu;abokatua;abokatuak;47;balanced
hornitzaile;hornitzailea;hornitzaileak;44,1;balanced
mediku-bisitari;mediku-bisitaria;mediku-bisitariak;43,8;balanced
argazkilari;argazkilaria;argazkilariak;43,4;balanced
dekoratzaile;dekoratzailea;dekoratzaileak;43,4;balanced
entrenatzaile;entrenatzailea;entrenatzaileak;43,2;balanced
gozogile;gozogilea;gozogileak;42,1;balanced
fisikari;fisikaria;fisikariak;41,4;balanced
matematikari;matematikaria;matematikariak;41,4;balanced
inkestatzaile;inkestatzailea;inkestatzaileak;40,3;balanced
bedel;bedela;bedelak;39,9;balanced